Producer,Model,Country,Year,Price in Germany,Battery (kilowatt-hours),Efficiency (watt-hours per kilometer),Fast_charge,Range,Top_speed,Segment
Volkswagen,Volkswagen ID.7 Pro,Germany,2023,53995.0,77.0,162,710.0,475,180,Executive
BMW,BMW iX xDrive50,Germany,2024,100100.0,105.2,208,680.0,505,200,Executive
Audi,Audi Q8 e-tron 55 quattro,Germany,2022,87300.0,106.0,210,640.0,505,200,Executive
MG (SAIC Motor),MG MG4 Electric 51 kWh,China,2022,34990.0,50.8,169,390.0,300,160,Medium
Peugeot,Peugeot e-3008 73 kWh,France,2024,48650.0,73.0,183,460.0,400,180,Medium
BYD,BYD SEAL 82.5 kWh RWD Design,China,2022,44990.0,82.5,165,550.0,500,180,Large
Skoda,Skoda Enyaq 85,Czech Republic,2020,48900.0,77.0,169,680.0,455,180,Medium
Hyundai,Hyundai Kona Electric 65 kWh,South Korea,2023,47190.0,65.4,168,400.0,390,170,Compact
Volkswagen,Volkswagen ID.3 Pro,Germany,2020,39995.0,58.0,166,450.0,350,160,Medium
Renault,Renault Zoe ZE50 R110,France,2019,36840.0,52.0,165,230.0,315,135,Compact
Kia,Kia EV9 99.8 kWh AWD,South Korea,2023,76490.0,96.0,226,740.0,425,200,Luxury
Peugeot,Peugeot e-208,France,2019,39100.0,46.3,162,460.0,285,150,Compact
Audi,Audi e-tron GT RS,Germany,2021,146050.0,85.0,210,1000.0,405,250,Luxury
Renault,Renault Twingo Electric,France,2020,28000.0,21.3,158,,135,135,Mini
CUPRA,CUPRA Born 170 kW - 77 kWh,Spain,2022,47250.0,77.0,171,630.0,450,160,Medium
BYD,BYD TANG,China,2020,69615.0,86.4,240,330.0,360,180,Executive
Mini,Mini Cooper SE,Great Britain,2020,36900.0,28.9,161,260.0,180,150,Compact
BMW,BMW i4 eDrive35,Germany,2022,57500.0,67.0,156,580.0,430,190,Large
Hyundai,Hyundai IONIQ 6 Long Range AWD,South Korea,2024,61100.0,74.0,168,1150.0,440,185,Large
Kia,Kia EV6 GT,South Korea,2022,72990.0,74.0,206,940.0,360,260,Medium
Hyundai,Hyundai IONIQ 6 Long Range 2WD,South Korea,2024,54000.0,74.0,149,1290.0,495,185,Large
Jeep,Jeep Avenger Electric,Italy,2023,38500.0,50.8,164,500.0,310,150,Compact
Nissan,Nissan Ariya 87kWh,Japan,2024,53490.0,87.0,193,540.0,450,160,Medium
Nissan,Nissan Leaf,Japan,2018,35900.0,39.0,166,230.0,235,144,Medium
Volkswagen,Volkswagen ID. Buzz Pro,Germany,2022,64581.0,77.0,223,480.0,345,145,Passenger Van
Mercedes-Benz,Mercedes-Benz EQA 250+,Germany,2023,53514.0,70.5,168,580.0,420,160,Medium
Volkswagen,Volkswagen ID.4 Pro,Germany,2021,46335.0,77.0,177,650.0,435,180,Medium
Opel,Opel Corsa-e,Germany,2020,36395.0,46.3,157,470.0,295,150,Compact
Zeekr,Zeekr 001 Performance AWD,China,2022,63970.0,94.0,186,700.0,505,200,Executive
Citroen,Citroen e-C4,France,2020,34875.0,46.3,160,460.0,290,150,Medium
Polestar,Polestar 4 Long Range Dual Motor,Sweden,2024,71200.0,94.0,202,690.0,465,200,Executive
Lucid Motors,Lucid Air Dream Edition R,USA,2022,218000.0,118.0,172,870.0,685,270,Luxury
MG (SAIC Motor),MG MG4 Electric 77 kWh,China,2023,45990.0,74.4,175,430.0,425,180,Medium
Peugeot,Peugeot e-3008 97 kWh Long Range,France,2024,52750.0,98.0,188,680.0,520,180,Medium
Hyundai,Hyundai IONIQ 5 N,South Korea,2024,74900.0,80.0,208,950.0,385,260,Medium
Hyundai,Hyundai IONIQ 5 Long Range 2WD,South Korea,2021,47900.0,74.0,190,1020.0,390,185,Medium
Tesla,Tesla Model Y,USA,2020,45970.0,57.5,164,810.0,350,217,Large
Honda,Honda e:Ny1,Japan,2023,38990.0,61.9,185,300.0,335,160,Compact
BYD,BYD DOLPHIN 44.9 kWh Active,China,2023,29990.0,44.9,176,260.0,255,150,Medium
Lotus,Lotus Eletre,Great Britain,2023,96990.0,109.0,220,1040.0,495,250,Luxury
Polestar,Polestar 2 Long Range Single Motor,Sweden,2021,50995.0,79.0,168,700.0,470,205,Large
Volvo,Volvo EX30 Twin Motor Performance,Sweden,2023,51690.0,64.0,178,540.0,360,180,Compact
BMW,BMW iX1 eDrive20,Germany,2023,47900.0,64.7,166,560.0,390,170,Medium
Hyundai,Hyundai IONIQ 6 Standard Range 2WD,South Korea,2023,43900.0,54.0,148,900.0,365,185,Large
Volkswagen,Volkswagen ID.7 Pro S,Germany,2023,58985.0,86.0,165,800.0,520,180,Executive
Opel,Opel Mokka-e,Germany,2020,34110.0,46.3,178,420.0,260,150,Compact
Mercedes-Benz,Mercedes-Benz EQB 350 4MATIC,Germany,2022,58197.0,66.5,196,490.0,340,160,Medium
MG (SAIC Motor),MG MG4 Electric XPOWER,China,2023,46990.0,61.7,193,560.0,320,200,Medium
Smart,Smart #1 Brabus,China,2022,48990.0,62.0,197,490.0,315,180,Compact
Subaru,Subaru Solterra AWD,Japan,2022,57490.0,64.0,200,480.0,320,160,Medium
Mercedes-Benz,Mercedes-Benz EQS 450+,Germany,2022,109551.0,108.4,171,950.0,635,210,Luxury
Fisker,Fisker Ocean One,USA,2023,69950.0,106.5,201,630.0,530,205,Large
Volvo,Volvo XC40 Recharge Single Motor ER,Sweden,2023,53000.0,79.0,195,600.0,405,180,Medium
Zeekr,Zeekr 001 Long Range RWD,China,2022,60970.0,94.0,177,740.0,530,200,Executive
Skoda,Skoda Enyaq Coupe 85,Czech Republic,2023,51150.0,77.0,159,720.0,485,180,Medium
BMW,BMW i5 M60 xDrive Sedan,Germany,2024,99500.0,81.2,191,630.0,425,230,Executive
Audi,Audi e-tron GT quattro,Germany,2021,106050.0,85.0,202,1030.0,420,245,Luxury
Kia,Kia EV6 Long Range AWD,South Korea,2021,53990.0,74.0,185,1050.0,400,185,Medium
MG (SAIC Motor),MG MG5 Electric Long Range,China,2022,38490.0,57.4,171,330.0,335,185,Medium
Mazda,Mazda MX-30,Japan,2020,35990.0,30.0,176,210.0,170,140,Medium
Polestar,Polestar 4 Long Range Single Motor,Sweden,2024,63200.0,94.0,190,740.0,495,180,Executive
Maxus,Maxus MIFA 9,China,2022,68990.0,84.0,230,330.0,365,180,Passenger Van
Hyundai,Hyundai Kona Electric 39 kWh,South Korea,2018,36400.0,39.2,160,210.0,245,155,Compact
Fisker,Fisker Ocean Ultra,USA,2023,58900.0,106.5,199,640.0,535,200,Large
Renault,Renault Zoe ZE50 R135,France,2019,37840.0,52.0,168,230.0,310,140,Compact
Kia,Kia EV9 99.8 kWh RWD,South Korea,2023,72490.0,96.0,213,780.0,450,185,Luxury
Lexus,Lexus RZ 450e,Japan,2023,68000.0,64.0,200,480.0,320,160,Large
Tesla,Tesla Model X Dual Motor,USA,2021,100970.0,95.0,200,660.0,475,250,Luxury
Mercedes-Benz,Mercedes-Benz EQB 250+,Germany,2023,53514.0,70.5,170,560.0,415,160,Medium
Hyundai,Hyundai IONIQ 5 Long Range AWD,South Korea,2024,59200.0,74.0,192,1010.0,385,185,Medium
Peugeot,Peugeot e-308,France,2024,44765.0,50.8,169,450.0,300,170,Medium
Tesla,Tesla Model X Plaid,USA,2022,115970.0,95.0,209,630.0,455,262,Luxury
Volvo,Volvo XC40 Recharge Twin Motor,Sweden,2022,59950.0,79.0,203,580.0,390,180,Medium
Hyundai,Hyundai IONIQ 5 Standard Range 2WD,South Korea,2024,43900.0,54.0,183,720.0,295,185,Medium
Volkswagen,Volkswagen ID.5 Pro,Germany,2023,48970.0,77.0,169,680.0,455,180,Medium
Mercedes-Benz,Mercedes-Benz EQB 300 4MATIC,Germany,2022,55519.0,66.5,196,490.0,340,160,Medium
Audi,Audi Q8 e-tron Sportback 55 quattro,Germany,2024,87550.0,106.0,202,660.0,525,200,Executive
BMW,BMW iX2 xDrive30,Germany,2024,56500.0,64.7,170,550.0,380,180,Medium
Audi,Audi Q4 e-tron 45,Germany,2024,52950.0,77.0,183,630.0,420,180,Medium
Zeekr,Zeekr X Privilege AWD,China,2023,50470.0,64.0,183,520.0,350,180,Compact
BMW,BMW iX M60,Germany,2022,136100.0,105.2,217,650.0,485,250,Executive
Fiat,Fiat 600e,Italy,2024,36490.0,50.8,167,490.0,305,150,Compact
Smart,Smart #3,China,2023,43490.0,62.0,175,550.0,355,180,Compact
MG (SAIC Motor),MG Marvel R,China,2021,46990.0,70.0,192,400.0,365,200,Medium
Nissan,Nissan Leaf e+,Japan,2019,41100.0,59.0,174,240.0,340,157,Medium
Polestar,Polestar 2 Long Range Dual Motor,Sweden,2021,58775.0,79.0,176,670.0,450,205,Large
Dacia,Dacia Spring Electric 65 Extreme,Romania,2023,24550.0,25.0,156,170.0,160,125,Mini
Mercedes-Benz,Mercedes-Benz EQE 350+,Germany,2022,71412.0,90.6,171,790.0,530,210,Executive
Volkswagen,Volkswagen ID.3 Pro S - 4 Seats,Germany,2020,47595.0,77.0,169,680.0,455,160,Medium
Mercedes-Benz,Mercedes-Benz EQS SUV 580 4MATIC,Germany,2024,135434.0,108.4,224,720.0,485,210,Luxury
Kia,Kia EV9 99.8 kWh AWD GT-Line,South Korea,2023,82380.0,96.0,231,720.0,415,200,Luxury
Renault,Renault Megane E-Tech EV60 130hp,France,2022,47000.0,60.0,158,530.0,380,150,Medium
Skoda,Skoda Enyaq 60,Czech Republic,2021,44200.0,58.0,171,460.0,340,160,Medium
Citroen,Citroen e-C4 X,France,2020,37540.0,46.3,162,460.0,285,150,Medium
Ford,Ford Mustang Mach-E ER RWD,USA,2021,58500.0,91.0,190,420.0,480,180,Large
Lucid Motors,Lucid Air Grand Touring,USA,2021,159000.0,112.0,168,840.0,665,270,Luxury
Volvo,Volvo XC40 Recharge Single Motor,Sweden,2020,47500.0,66.0,191,420.0,345,180,Medium
Polestar,Polestar 2 Standard Range Single Motor,Sweden,2020,50775.0,67.0,165,480.0,405,205,Large
Peugeot,Peugeot e-2008 54 kWh,France,2023,40050.0,50.8,169,480.0,300,150,Compact
XPENG,XPENG G9 RWD Standard Range,China,2022,57600.0,75.8,190,840.0,400,200,Executive
ORA,ORA Funky Cat 48 kWh,China,2022,38990.0,45.4,175,240.0,260,160,Medium
Audi,Audi Q4 e-tron 50 quattro,Germany,2021,57900.0,76.6,199,550.0,385,180,Medium
Hongqi E-HS9 84 kWh,Hongqi E-HS9 84 kWh,China,2020,69995.0,76.5,239,440.0,320,200,Luxury
Polestar,Polestar 3 Long Range Dual motor,Sweden,2024,88600.0,107.0,218,640.0,490,210,Executive
MG (SAIC Motor),MG Marvel R Performance,China,2021,50990.0,70.0,200,380.0,350,200,Medium
MG (SAIC Motor),MG ZS EV Standard Range,China,2019,33990.0,49.0,185,250.0,265,175,Compact
CUPRA,CUPRA Tavascan VZ,Spain,2024,60780.0,77.0,179,640.0,430,180,Medium
Toyota,Toyota bZ4X AWD,Japan,2024,57390.0,64.0,203,470.0,315,160,Medium
Audi,Audi Q8 e-tron 50 quattro,Germany,2022,74400.0,89.0,209,660.0,425,200,Executive
Nissan,Nissan Ariya 63kWh,Japan,2022,47490.0,63.0,188,450.0,335,160,Medium
Kia,Kia EV6 Standard Range 2WD,South Korea,2024,46990.0,54.0,177,750.0,305,185,Medium
Lucid Motors,Lucid Air Dream Edition P,USA,2024,218000.0,118.0,177,840.0,665,270,Luxury
Volvo,Volvo EX90 Twin Motor,Sweden,2024,105550.0,107.0,230,610.0,465,180,Luxury
Mercedes-Benz,Mercedes-Benz EQA 250,Germany,2021,50777.0,66.5,164,580.0,405,160,Medium
Mercedes-Benz,Mercedes-Benz EQV 300 Long,Germany,2020,71626.0,90.0,290,310.0,310,160,Passenger Van
NIO,NIO ET7 Standard Range,China,2021,81900.0,70.5,176,540.0,400,200,Luxury
Ford,Ford Mustang Mach-E ER AWD,USA,2021,65900.0,91.0,204,390.0,445,180,Large
Volkswagen,Volkswagen ID.4 Pure,Germany,2020,40335.0,52.0,182,360.0,285,160,Medium
VinFast,VinFast VF 8 Eco Extended Range,Vietnam,2022,89790.0,123.0,237,520.0,520,200,Large
NIO,NIO ET5 Long Range,China,2022,68500.0,90.0,180,520.0,500,200,Executive
Skoda,Skoda Enyaq 85x,Czech Republic,2024,51150.0,77.0,175,660.0,440,180,Medium
XPENG,XPENG G9 RWD Long Range,China,2024,61600.0,93.1,190,1020.0,490,200,Executive
Volvo,Volvo C40 Recharge Twin Motor,Sweden,2024,61400.0,79.0,198,600.0,400,180,Medium
Fisker,Fisker Ocean Sport,USA,2022,41560.0,75.0,197,480.0,380,160,Large
Mercedes-Benz,Mercedes-Benz EQE SUV 500 4MATIC,Germany,2023,99841.0,96.0,211,630.0,455,210,Executive
Mini,Mini Cooper SE,Great Britain,2020,36900.0,49.0,158,440.0,310,170,Compact
Ford,Ford Mustang Mach-E SR RWD,USA,2024,55800.0,72.6,191,460.0,380,180,Large
Volvo,Volvo C40 Recharge Single Motor ER,Sweden,2021,54450.0,79.0,188,630.0,420,180,Medium
Jaguar,Jaguar I-Pace EV400,Great Britain,2018,92400.0,84.7,223,360.0,380,200,Large
Skoda,Skoda Enyaq Coupe RS,Czech Republic,2022,63300.0,77.0,169,680.0,455,180,Medium
XPENG,XPENG P7 Wing Edition,China,2021,69600.0,82.7,178,650.0,465,200,Executive
Fisker,Fisker Ocean Extreme,USA,2022,69950.0,106.5,201,630.0,530,205,Large
Mercedes-Benz,Mercedes-Benz EQE 300,Germany,2022,67187.0,89.0,170,660.0,525,210,Executive
Honda,Honda e Advance,Japan,2020,39900.0,28.5,168,180.0,170,145,Compact
Lotus,Lotus Eletre R,Great Britain,2023,150990.0,109.0,240,950.0,455,260,Luxury
Smart,Smart #3 Brabus,China,2023,50990.0,62.0,188,510.0,330,180,Compact
Peugeot,Peugeot e-308 SW,France,2024,45765.0,50.8,169,450.0,300,150,Medium
Mercedes-Benz,Mercedes-Benz EQE SUV 350 4MATIC,Germany,2023,89548.0,89.0,209,540.0,425,210,Executive
Mercedes-Benz,Mercedes-Benz EQS SUV 450+,Germany,2024,110801.0,108.4,217,750.0,500,210,Luxury
BYD,BYD DOLPHIN 44.9 kWh Boost,China,2021,32740.0,44.9,176,260.0,255,160,Medium
Opel,Opel Corsa Electric 51 kWh,Germany,2023,38045.0,48.1,153,490.0,315,150,Compact
SsangYong,SsangYong Korando e-Motion,South Korea,2021,40490.0,56.0,193,330.0,290,156,Medium
Volkswagen,Volkswagen ID.4 Pro 4MOTION,Germany,2021,49020.0,77.0,181,630.0,425,180,Medium
Mercedes-Benz,Mercedes-Benz EQA 350 4MATIC,Germany,2021,58197.0,66.5,190,500.0,350,160,Medium
Renault,Renault Megane E-Tech EV40 130hp,France,2022,42000.0,40.0,154,370.0,260,150,Medium
Smart,Smart #1 Pro,China,2022,37490.0,47.0,184,330.0,255,180,Compact
Citroen,Citroen e-C4 54 kWh,France,2022,41540.0,50.8,154,470.0,330,150,Medium
Lucid Motors,Lucid Air Touring,USA,2022,129000.0,92.0,159,970.0,580,250,Luxury
CUPRA,CUPRA Tavascan Endurance,Spain,2024,56210.0,77.0,171,670.0,450,180,Medium
Volvo,Volvo EX90 Twin Motor Performance,Sweden,2023,110650.0,107.0,238,590.0,450,180,Luxury
Peugeot,Peugeot e-2008 50 kWh,France,2020,39000.0,46.3,171,430.0,270,150,Compact
Volkswagen,Volkswagen ID.4 GTX,Germany,2024,53255.0,77.0,183,630.0,420,180,Medium
Mercedes-Benz,Mercedes-Benz EQA 350 4MATIC,Germany,2024,56424.0,66.5,187,510.0,355,160,Medium
Skoda,Skoda Enyaq Coupe 85x,Czech Republic,2023,53400.0,77.0,164,700.0,470,180,Medium
Mercedes-Benz,Mercedes-Benz EQA 250+,Germany,2023,52205.0,70.5,164,600.0,430,160,Medium
Genesis,Genesis GV60 Premium,South Korea,2022,64726.0,74.0,190,1020.0,390,185,Medium
Mercedes-Benz,Mercedes-Benz EQS 580 4MATIC,Germany,2022,141705.0,108.4,184,880.0,590,210,Luxury
Renault,Renault Kangoo E-Tech Electric,France,2021,39300.0,45.0,205,230.0,220,132,Passenger Van
Peugeot,Peugeot e-208 51 kWh,France,2023,36775.0,48.1,155,480.0,310,150,Compact
Aiways,Aiways U5,China,2019,39563.0,60.0,190,380.0,315,150,Medium
Hyundai,Hyundai Kona Electric 48 kWh,South Korea,2023,41990.0,48.4,167,280.0,290,160,Compact
Audi,Audi Q4 e-tron 55 quattro,Germany,2023,59000.0,77.0,195,590.0,395,180,Medium
XPENG,XPENG G9 AWD Performance,China,2022,69600.0,93.1,196,990.0,475,200,Executive
Audi,Audi Q4 Sportback e-tron 40,Germany,2022,53900.0,76.6,180,660.0,425,160,Medium
NIO,NIO ET7 Long Range,China,2022,90900.0,90.0,178,530.0,505,200,Luxury
Mercedes-Benz,Mercedes-Benz EQA 300 4MATIC,Germany,2021,53746.0,66.5,190,500.0,350,160,Medium
Audi,Audi Q4 Sportback e-tron 45,Germany,2024,54950.0,77.0,177,650.0,435,180,Medium
Mercedes-Benz,Mercedes-Benz EQE SUV 500 4MATIC,Germany,2023,99841.0,90.6,208,650.0,435,210,Executive
Kia,Kia e-Soul 64 kWh,South Korea,2019,46950.0,64.0,173,350.0,370,167,Compact
BMW,BMW i7 eDrive50,Germany,2023,115700.0,101.7,196,780.0,520,205,Luxury
Audi,Audi SQ8 e-tron,Germany,2023,95800.0,106.0,233,570.0,455,210,Executive
Porsche,Porsche Taycan GTS,Germany,2024,139906.0,83.7,186,1110.0,450,250,Luxury
XPENG,XPENG P7 RWD Long Range,China,2022,49600.0,82.7,167,690.0,495,200,Executive
Porsche,Porsche Taycan Plus,Germany,2021,98863.0,83.7,173,1190.0,485,230,Luxury
BMW,BMW i7 M70 xDrive,Germany,2023,181800.0,101.7,208,730.0,490,250,Luxury
Opel,Opel Astra Sports Tourer Electric,Germany,2024,43490.0,50.8,169,480.0,300,170,Medium
Volvo,Volvo C40 Recharge Single Motor,Sweden,2024,47500.0,66.0,186,430.0,355,180,Medium
Lucid Motors,Lucid Air Pure AWD,USA,2023,109000.0,92.0,156,990.0,590,200,Luxury
Volkswagen,Volkswagen ID.5 GTX,Germany,2022,56455.0,77.0,179,640.0,430,180,Medium
Maserati,Maserati GranTurismo Folgore,Italy,2023,198212.0,83.0,195,990.0,425,320,Luxury
Mini,Mini Countryman E,Great Britain,2024,43500.0,64.7,170,550.0,380,170,Medium
Fiat,Fiat 500e Hatchback 24 kWh,Italy,2020,30990.0,21.3,158,230.0,135,135,Compact
Opel,Opel Corsa Electric 50 kWh,Germany,2020,34650.0,46.3,157,470.0,295,150,Compact
Polestar,Polestar 3 Long Range Performance,Sweden,2023,95200.0,107.0,228,610.0,470,210,Executive
Citroen,Citroen e-Berlingo M 50 kWh,France,2021,37790.0,46.3,226,330.0,205,135,Passenger Van
Mercedes-Benz,Mercedes-Benz eVito Tourer Long 90 kWh,Germany,2020,64248.0,90.0,290,310.0,310,160,Passenger Van
Nissan,Nissan Ariya e-4ORCE 87kWh - 225 kW,Japan,2024,61990.0,87.0,215,480.0,405,200,Medium
NIO,NIO EL6 Long Range,China,2023,74500.0,90.0,205,460.0,440,200,Executive
Citroen,Citroen e-C4 X 54 kWh,France,2024,41540.0,50.8,154,470.0,330,150,Medium
DS Automobiles,DS 3 E-Tense,France,2023,40540.0,50.8,169,480.0,300,150,Compact
Mercedes-Benz,Mercedes-Benz EQS 450 4MATIC,Germany,2022,113359.0,108.4,178,910.0,610,210,Luxury
Seres,Seres 3,China,2024,37995.0,51.0,196,240.0,260,155,Medium
MG (SAIC Motor),MG MG5 Electric Standard Range,China,2021,35490.0,46.0,174,320.0,265,185,Medium
Mercedes-Benz,Mercedes-Benz EQE SUV 350+,Germany,2023,86811.0,96.0,202,660.0,475,210,Executive
Mercedes-Benz,Mercedes-Benz EQE 350 4MATIC,Germany,2024,74149.0,89.0,176,640.0,505,210,Executive
Porsche,Porsche Taycan Turbo S,Germany,2021,197740.0,83.7,195,1060.0,430,260,Luxury
Peugeot,Peugeot e-Rifter Long 50 kWh,France,2022,42440.0,46.3,232,320.0,200,135,Passenger Van
NIO,NIO EL7 Standard Range,China,2024,94900.0,90.0,209,450.0,430,200,Luxury
Ford,Ford Mustang Mach-E GT,USA,2024,77300.0,91.0,214,380.0,425,200,Large
Mini,Mini Countryman SE ALL4,Great Britain,2024,49500.0,64.7,175,530.0,370,180,Medium
Zeekr,Zeekr X Long Range RWD,China,2023,45970.0,64.0,178,540.0,360,180,Compact
Maserati,Maserati Grecale Folgore,Italy,2024,124301.0,95.0,235,440.0,405,220,Executive
Zeekr,Zeekr 001 Privilege AWD,China,2021,68970.0,94.0,188,700.0,500,200,Executive
NIO,NIO ET5 Touring Long Range,China,2023,68500.0,90.0,186,500.0,485,200,Executive
Polestar,Polestar 2 Long Range Performance,Sweden,2023,65275.0,79.0,176,670.0,450,205,Large
Mercedes-Benz,Mercedes-Benz EQB 300 4MATIC,Germany,2021,55519.0,66.5,193,500.0,345,160,Medium
Volvo,Volvo EX90 Single Motor,Sweden,2024,83700.0,101.0,220,600.0,460,180,Luxury
Nissan,Nissan Townstar EV Passenger,Japan,2022,39990.0,45.0,200,230.0,225,132,Passenger Van
ORA,ORA Funky Cat 63 kWh,China,2023,44490.0,59.3,174,240.0,340,160,Medium
Mercedes-Benz,Mercedes-Benz EQE 350,Germany,2022,70995.0,89.0,173,650.0,515,210,Executive
Audi,Audi Q8 e-tron Sportback 50 quattro,Germany,2023,76650.0,89.0,200,690.0,445,200,Executive
Fiat,Fiat 500e 3+1 42 kWh,Italy,2021,36990.0,37.3,159,390.0,235,150,Compact
Audi,Audi Q4 e-tron 45 quattro,Germany,2024,54950.0,77.0,195,590.0,395,180,Medium
NIO,NIO ET5 Standard Range,China,2022,59500.0,70.5,178,530.0,395,200,Executive
Mini,Mini Cooper E,Great Britain,2024,32900.0,37.0,157,360.0,235,160,Compact
Genesis,Genesis GV70 Electrified Sport,South Korea,2024,67300.0,74.0,211,860.0,350,235,Large
Mercedes-Benz,Mercedes-Benz EQB 350 4MATIC,Germany,2021,58197.0,66.5,193,500.0,345,160,Medium
Peugeot,Peugeot e-3008 73 kWh Dual Motor,France,2024,50000.0,73.0,190,440.0,385,180,Medium
Mercedes-Benz,Mercedes-Benz EQS AMG 53 4MATIC+,Germany,2024,155009.0,108.4,203,800.0,535,250,Luxury
NIO,NIO ET5 Touring Standard Range,China,2023,59500.0,70.5,183,520.0,385,200,Executive
Mercedes-Benz,Mercedes-Benz EQE SUV 350 4MATIC,Germany,2023,89548.0,90.6,208,550.0,435,210,Executive
Audi,Audi Q4 Sportback e-tron 55 quattro,Germany,2024,61000.0,77.0,186,620.0,415,180,Medium
Skoda,Skoda Enyaq RS,Czech Republic,2023,61050.0,77.0,177,650.0,435,180,Medium
Genesis,Genesis G80 Electrified Luxury,South Korea,2022,69200.0,82.5,188,880.0,440,225,Luxury
CUPRA,CUPRA Born 170 kW - 58 kWh,Spain,2021,40750.0,58.0,168,460.0,345,160,Medium
Porsche,Porsche Taycan,Germany,2020,93139.0,71.0,169,1030.0,420,230,Luxury
Mercedes-Benz,Mercedes-Benz EQS SUV 500 4MATIC,Germany,2023,124545.0,108.4,221,730.0,490,210,Luxury
Peugeot,Peugeot e-208 50 kWh,France,2020,35975.0,46.3,160,460.0,290,150,Compact
e.Go,e.Go e.wave X,Germany,2022,24990.0,27.0,180,,150,135,Compact
Mercedes-Benz,Mercedes-Benz EQT 200 Standard,Germany,2024,49445.0,45.0,200,230.0,225,132,Passenger Van
Ford,Ford Mustang Mach-E SR AWD,USA,2021,57900.0,72.6,207,430.0,350,180,Large
Lexus,Lexus UX 300e,Japan,2020,47550.0,64.0,188,170.0,340,160,Medium
Mercedes-Benz,Mercedes-Benz EQS 500 4MATIC,Germany,2024,125378.0,108.4,184,880.0,590,210,Luxury
Porsche,Porsche Taycan 4S Plus,Germany,2024,120081.0,83.7,174,1180.0,480,250,Luxury
Mercedes-Benz,Mercedes-Benz EQE 500 4MATIC,Germany,2022,88215.0,90.6,179,750.0,505,210,Executive
